Line,Prediction
101,3
102,1
103,1
104,1
105,5
106,4
107,1
108,4
109,1
110,1
111,5
112,1
113,4
114,5
115,5
116,5
117,1
118,1
119,4
120,3
121,4
122,5
123,5
124,3
125,3
126,5
127,5
128,5
129,1
130,1
131,5
132,5
133,1
134,3
135,3
136,5
137,5
138,3
139,5
140,5
141,5
142,3
143,5
144,5
145,4
146,5
147,4
148,1
149,4
150,1
151,5
152,1
153,3
154,4
155,1
156,1
157,3
158,5
159,4
160,5
161,5
162,1
163,1
164,4
165,1
166,1
167,5
168,3
169,4
170,5
171,5
172,3
173,5
174,3
175,3
176,1
177,4
178,4
179,4
180,1
181,1
182,1
183,5
184,5
185,4
186,5
187,1
188,4
189,5
190,1
191,5
192,1
193,5
194,4
195,1
196,5
197,5
198,1
199,4
200,1
201,3
202,5
203,1
204,4
205,1
206,5
207,5
208,5
209,5
210,4
211,5
212,5
213,1
214,3
215,5
216,5
217,4
218,5
219,1
220,4
221,3
222,1
223,3
224,5
225,5
226,5
227,3
228,1
229,5
230,1
231,1
232,1
233,5
234,5
235,5
236,5
237,5
238,3
239,3
240,3
241,3
242,5
243,4
244,3
245,5
246,5
247,1
248,5
249,3
250,4
251,1
252,1
253,1
254,3
255,5
256,1
257,3
258,5
259,4
260,4
261,1
262,1
263,1
264,5
265,3
266,3
267,5
268,1
269,5
270,1
271,5
272,5
273,4
274,4
275,1
276,4
277,3
278,1
279,3
280,5
281,1
282,3
283,5
284,1
285,5
286,3
287,5
288,5
289,1
290,3
291,3
292,1
293,1
294,5
295,3
296,5
297,5
298,3
299,5
300,5
301,4
302,5
303,5
304,1
305,1
306,1
307,1
308,5
309,4
310,1
311,4
312,5
313,5
314,3
315,5
316,1
317,5
318,4
319,5
320,4
321,3
322,3
323,5
324,1
325,5
326,4
327,5
328,5
329,4
330,4
331,1
332,4
333,5
334,5
335,1
336,5
337,5
338,5
339,5
340,5
341,5
342,4
343,5
344,4
345,5
346,3
347,5
348,3
349,5
350,3
351,5
352,3
353,5
354,4
355,5
356,3
357,5
358,3
359,3
360,5
361,3
362,1
363,5
364,4
365,4
366,5
367,5
368,4
369,5
370,5
371,5
372,4
373,4
374,1
375,5
376,1
377,4
378,5
379,1
380,3
381,1
382,1
383,1
384,1
385,3
386,1
387,4
388,3
389,5
390,1
391,5
392,5
393,1
394,3
395,1
396,1
397,5
398,5
399,4
400,1
401,5
402,1
403,3
404,5
405,5
406,4
407,5
408,3
409,5
410,3
411,5
412,5
413,1
414,3
415,5
416,4
417,1
418,5
419,4
420,3
421,3
422,1
423,5
424,5
425,5
426,1
427,1
428,1
429,4
430,5
431,5
432,3
433,5
434,4
435,5
436,4
437,5
438,5
439,3
440,3
441,3
442,3
443,4
444,1
445,1
446,1
447,1
448,1
449,5
450,3
451,5
452,1
453,5
454,5
455,1
456,3
457,4
458,4
459,1
460,3
461,1
462,3
463,3
464,1
465,1
466,5
467,4
468,4
469,4
470,1
471,1
472,1
473,5
474,3
475,3
476,5
477,1
478,5
479,5
480,4
481,3
482,5
483,4
484,1
485,5
486,1
487,3
488,4
489,1
490,1
491,4
492,4
493,5
494,1
495,4
496,5
497,4
498,4
499,5
500,4
501,5
502,3
503,1
504,5
505,3
506,1
507,1
508,1
509,3
510,1
511,5
512,4
513,3
514,4
515,1
516,4
517,5
518,5
519,5
520,1
521,5
522,5
523,5
524,5
525,4
526,5
527,4
528,5
529,1
530,5
531,3
532,1
533,5
534,1
535,5
536,5
537,5
538,5
539,1
540,5
541,3
542,1
543,4
544,5
545,3
546,1
547,5
548,5
549,1
550,4
551,4
552,4
553,4
554,5
555,1
556,3
557,1
558,5
559,5
560,3
561,1
562,1
563,1
564,5
565,1
566,4
567,5
568,5
569,1
570,1
571,5
572,3
573,5
574,3
575,5
576,3
577,1
578,5
579,3
580,1
581,1
582,5
583,1
584,5
585,5
586,3
587,1
588,5
589,1
590,5
591,3
592,4
593,4
594,3
595,5
596,5
597,5
598,5
599,3
600,5
601,5
602,3
603,1
604,5
605,3
606,3
607,5
608,4
609,3
610,4
611,5
612,3
613,1
614,5
615,1
616,1
617,5
618,4
619,1
620,5
621,5
622,3
623,5
624,5
625,1
626,4
627,4
628,1
629,1
630,3
631,1
632,4
633,1
634,5
635,3
636,3
637,3
638,1
639,5
640,5
641,5
642,1
643,1
644,5
645,1
646,5
647,4
648,3
649,3
650,4
651,5
652,1
653,4
654,1
655,3
656,5
657,1
658,5
659,5
660,5
661,1
662,5
663,5
664,1
665,3
666,3
667,1
668,5
669,5
670,4
671,4
672,3
673,3
674,1
675,3
676,5
677,3
678,4
679,5
680,5
681,1
682,1
683,5
684,1
685,1
686,1
687,3
688,5
689,5
690,1
691,5
692,1
693,5
694,4
695,1
696,1
697,5
698,1
699,1
700,4
701,5
702,3
703,1
704,5
705,3
706,3
707,1
708,3
709,5
710,3
711,3
712,3
713,5
714,3
715,1
716,1
717,3
718,1
719,5
720,1
721,3
722,3
723,1
724,5
725,5
726,4
727,4
728,5
729,1
730,3
731,4
732,1
733,5
734,1
735,3
736,5
737,5
738,5
739,1
740,5
741,5
742,3
743,1
744,1
745,3
746,4
747,1
748,5
749,4
750,1
751,3
752,5
753,5
754,4
755,3
756,3
757,5
758,1
759,4
760,1
761,5
762,5
763,1
764,5
765,5
766,4
767,5
768,1
769,3
770,1
771,5
772,5
773,1
774,1
775,1
776,4
777,3
778,3
779,5
780,5
781,4
782,5
783,5
784,5
785,5
786,5
787,4
788,5
789,4
790,1
791,5
792,5
793,3
794,1
795,5
796,3
797,1
798,5
799,3
800,3
801,3
802,1
803,1
804,1
805,5
806,5
807,3
808,3
809,5
810,1
811,3
812,4
813,5
814,5
815,4
816,5
817,5
818,1
819,3
820,5
821,5
822,3
823,1
824,5
825,5
826,4
827,5
828,3
829,1
830,5
831,4
832,5
833,5
834,5
835,5
836,1
837,3
838,1
839,5
840,1
841,1
842,1
843,5
844,5
845,3
846,5
847,5
848,4
849,1
850,3
851,5
852,5
853,5
854,4
855,5
856,1
857,5
858,1
859,5
860,3
861,5
862,4
863,5
864,5
865,1
866,5
867,1
868,1
869,5
870,4
871,4
872,1
873,5
874,1
875,1
876,1
877,1
878,1
879,5
880,1
881,1
882,5
883,4
884,5
885,1
886,5
887,1
888,5
889,5
890,1
891,5
892,1
893,3
894,1
895,5
896,5
897,1
898,1
899,1
900,1
901,5
902,5
903,5
904,5
905,5
906,5
907,3
908,4
909,1
910,5
911,3
912,1
913,5
914,1
915,5
916,1
917,3
918,4
919,3
920,5
921,1
922,3
923,4
924,1
925,3
926,1
927,3
928,3
929,3
930,5
931,5
932,1
933,1
934,5
935,5
936,3
937,5
938,5
939,3
940,4
941,5
942,4
943,1
944,1
945,5
946,1
947,3
948,5
949,5
950,1
951,1
952,5
953,5
954,5
955,1
956,1
957,5
958,5
959,5
960,1
961,1
962,3
963,4
964,3
965,1
966,1
967,5
968,5
969,5
970,1
971,1
972,1
973,1
974,5
975,1
976,1
977,4
978,1
979,4
980,5
981,1
982,1
983,5
984,5
985,4
986,5
987,4
988,5
989,1
990,5
991,1
992,5
993,4
994,1
995,3
996,5
997,5
998,5
999,5
1000,1
